Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CC,Chemours Company,26.38,-0.29,-1.09%,26.67,25.53,1942071,3/16/21
CCAC,Citic Capital Acquisition Corp Cl A,10.61,0.14,1.34%,10.67,10.4,417111,3/16/21
CCEP,Coca Cola European Partners,53.18,-0.28,-0.52%,53.96,52.29,778763,3/16/21
CCI,Crown Castle International Corp,165.05,3.51,2.17%,165.62,161.16,2593633,3/16/21
CCIV,Churchill Capital IV Cl A,31.1,2.41,8.40%,32.97,29.2,65743039,3/16/21
CCJ,Cameco Corp,18.7,0.08,0.43%,19.71,18.17,14748558,3/16/21
CCK,Crown Cork & Seal Company,97,-0.01,-0.01%,97.6,96.22,1680435,3/16/21
CCL,Carnival Corp,28.25,-1.54,-5.17%,29.98,27.85,50975336,3/16/21
CCLP,CSI Compressco,2.11,-0.12,-5.38%,2.3,2.1,152632,3/16/21
CCMP,Cabot Microelectron,180.76,6.95,4.00%,182.66,174.57,348016,3/16/21
CCNE,Cnb Financial Corp,24.98,-0.62,-2.42%,25.97,24.69,32565,3/16/21
CCO,Clear Channel Outdoor Holdings,2.18,-0.03,-1.36%,2.24,2.06,2307382,3/16/21
CCOI,Cogent Comm Hlds,62.2,-1.45,-2.28%,63.29,61.52,237728,3/16/21
CCRN,Cross Ctry Hlthcr,12.68,-0.63,-4.70%,13.36,12.53,301199,3/16/21
CCS,Century Communities Inc,62.35,-1,-1.58%,64.91,62.2,384031,3/16/21
CCX,Churchill Capital II Cl A,10.04,0.04,0.40%,10.06,10.03,859113,3/16/21
CCXI,Chemocentryx Inc,56.91,-1.11,-1.91%,59.15,56.52,382140,3/16/21
CD,Chindata Group Holdings Limited ADR,18.73,-0.37,-1.94%,19.48,18.56,324127,3/16/21
CDAY,Ceridian Hcm Holding Inc,88.21,-2.04,-2.26%,91.69,87.38,656275,3/16/21
CDE,Coeur Mining Inc,9.81,-0.16,-1.60%,9.98,9.68,2871657,3/16/21
CDEV,Centennial Resource Development Inc,4.83,-1.05,-17.86%,5.69,4.66,23751035,3/16/21
CDK,Cdk Global Inc,53.46,-0.11,-0.21%,53.81,52.84,771842,3/16/21
CDLX,Cardlytics Inc,127.37,-4.74,-3.59%,133.55,124.5,420869,3/16/21
CDMO,Avid Bioservices Inc,17.45,-0.23,-1.30%,18.25,17.16,915538,3/16/21
CDNA,Caredx Inc,71.09,-2.51,-3.41%,74.86,69,691395,3/16/21
CDNS,Cadence Design Sys,129.39,0,0.00%,132.61,129.09,1206040,3/16/21
CDR,Cedar Realty Trust Inc,15.6,-0.94,-5.68%,16.24,15.31,78306,3/16/21
CDTX,Cidara Thera,2.72,0.11,4.21%,2.74,2.55,445601,3/16/21
CDW,CDW Corp,160.97,-0.3,-0.19%,162.2,160.02,524727,3/16/21
CDXC,Chromadex Corp CS,13.01,1.18,9.97%,14.45,12.37,5707429,3/16/21
CDXS,Codexis Inc,21.83,-0.42,-1.89%,22.9,21.26,486548,3/16/21
CDZI,Cadiz Inc,10.99,0.02,0.18%,11.07,10.78,63300,3/16/21
CE,Celanese Corp,143.7,-2.21,-1.51%,146.16,142.41,836103,3/16/21
CECE,C E C O Envir,8.67,-0.3,-3.34%,9.03,8.6,78821,3/16/21
CEIX,Consol Energy Inc,10.37,-0.18,-1.71%,10.51,10.16,247325,3/16/21
CELH,Celsius Holdings Inc,46.95,-1.65,-3.40%,49.35,45.42,1563124,3/16/21
CELJF,Cellcom Israel,3.725,-0.045,-1.19%,3.8,3.67,65075,3/16/21
CEMB,Emrg Mkts Corp Bond Ishares JPM ETF,52.1,0.08,0.15%,52.15,52.03,37343,3/16/21
CEMI,Chembio Diagnostics,4.35,-0.3,-6.45%,4.74,4.34,580121,3/16/21
CENT,Central Garden,52.45,0.8,1.55%,52.9,51.37,55571,3/16/21
CENTA,Central Garden & Pet,47.85,0.83,1.77%,48.27,46.52,186487,3/16/21
CENX,Century Aluminum C,17.27,-0.65,-3.63%,17.92,16.69,992715,3/16/21
CEQP,Crestwood Equity Partners LP,25.5,-0.25,-0.97%,25.88,25.03,541574,3/16/21
CERC,Cerecor Inc,3.29,-0.05,-1.50%,3.36,3.17,210280,3/16/21
CERN,Cerner Corp,72.2,-0.18,-0.25%,73.45,72.12,2668658,3/16/21
CERS,Cerus Corp,6.38,-0.04,-0.62%,6.52,6.23,1650804,3/16/21
CERT,Certara Inc,31.01,0.6,1.97%,31.6,30.36,572426,3/16/21
CEVA,Ceva Inc,59.39,-0.5,-0.83%,62.48,59,254983,3/16/21
CEW,Wisdomtree Emerging Currency Strategy Fund,18.14,-0.01,-0.04%,18.17,18.12,3352,3/16/21
CF,Cf Industries Holdings,48.91,-1.97,-3.87%,51,48.37,2225484,3/16/21
CFA,Victory US 500 Vol ETF,66.44,-0.49,-0.73%,67.06,66.35,15943,3/16/21
CFAC,Cf Finance Acquisition Corp III,10.19,-0.03,-0.29%,10.32,10.15,220778,3/16/21
CFFN,Capitol Fed Finl Inc,13.7,-0.25,-1.79%,14.02,13.64,704803,3/16/21
CFG,Citizens Financial Group Inc/Ri,43.94,-1,-2.23%,44.5,43.38,5040165,3/16/21
CFR,Cullen/Frost Bankers,114.49,-1.99,-1.71%,115.68,113.57,467550,3/16/21
CFRX,Contrafect,6.32,0.18,2.93%,7.3,6.15,3600460,3/16/21
CFX,Colfax Corp,47.29,-2.37,-4.77%,49.01,47,2243645,3/16/21
CG,The Carlyle Group,37.16,-0.19,-0.50%,37.76,36.95,1098975,3/16/21
CGBD,Tcg Bdc Inc,13.27,-0.23,-1.70%,13.53,13.15,216147,3/16/21
CGC,Canopy Growth Corp,33.73,-1.83,-5.15%,36,33.1,3940596,3/16/21
CGEN,Compugen Ltd,9.11,-0.23,-2.46%,9.61,8.71,1273685,3/16/21
CGNT,Cognyte Software Ltd,29.99,-0.73,-2.38%,31.23,29.49,266756,3/16/21
CGNX,Cognex Cp,83.33,-0.47,-0.56%,84.61,82.26,1230449,3/16/21
CGRO,Collective Growth Corp Cl A,11.45,0.14,1.24%,11.58,11.31,259929,3/16/21
CHAD,CSI 300 China A 1X Direxion,17.53,-0.13,-0.73%,17.61,17.53,3929,3/16/21
CHAU,CSI 300 China A 2X Direxion,40.39,0.71,1.79%,40.4,39.93,145685,3/16/21
CHCO,City Holding Company,83.58,-0.87,-1.03%,83.8,81.98,47024,3/16/21
CHD,Church & Dwight Company,83.4,0.5,0.60%,83.74,82.53,1158491,3/16/21
CHDN,Churchill Downs IN,242.9,-10.68,-4.21%,253.64,242.27,194490,3/16/21
CHE,Chemed Inc,451.21,-8.9,-1.93%,459.52,448.23,63755,3/16/21
CHEF,The Chefs Warehouse,31.87,-1.61,-4.81%,33.33,31.76,330579,3/16/21
CHGG,Chegg Inc,91.99,0.36,0.39%,95.15,91.51,1805631,3/16/21
CHH,Choice Hotels International,111.01,-1.19,-1.06%,113,111,290700,3/16/21
CHIC,G-X MSCI China Communication Services ETF,29.95,0.2,0.67%,30.12,29.76,12102,3/16/21
CHIQ,G-X China Consumer ETF,36.2,0.47,1.32%,36.5,35.9,186370,3/16/21
CHIX,G-X China Financials ETF,16.71,0.02,0.12%,16.71,16.58,29597,3/16/21
CHK,Chesapeake Energy Corp,44.81,-0.94,-2.05%,45.88,43.94,717660,3/16/21
CHKP,Check Point Software,117.97,0.55,0.47%,119.2,117.11,1109658,3/16/21
CHMA,Chiasma Inc,3.35,0.02,0.60%,3.44,3.27,1223211,3/16/21
CHNG,Change Healthcare Inc,22.99,0.01,0.04%,23.03,22.75,2862785,3/16/21
CHPT,Chargepoint Hldgs Inc,24.7,-1.21,-4.67%,26,23.86,8012897,3/16/21
CHRS,Coherus Bio,15.97,0.11,0.69%,16.2,15.7,1363286,3/16/21
CHRW,C.H. Robinson Ww,96.18,-1.04,-1.07%,97.18,94.84,688416,3/16/21
CHS,Chico's Fas,3.55,0.18,5.34%,3.85,3.43,2490663,3/16/21
CHT,Chunghwa Telecom CO Ltd,39.36,-0.13,-0.33%,39.55,39.31,156307,3/16/21
CHTR,Charter Communicatio,639.65,14.65,2.34%,643.51,625.62,1147752,3/16/21
CHUY,Chuy's Holdings Inc,42.76,-1.57,-3.54%,44.33,41.45,110086,3/16/21
CHWY,Chewy Inc,82.29,-4.26,-4.92%,88.1,80.91,2433368,3/16/21
CHX,Championx Corp,24.54,-0.68,-2.70%,24.74,23.61,1797117,3/16/21
CI,Cigna Corp,241.69,-3.8,-1.55%,245.48,241.62,1549699,3/16/21
CIA,Citizens Inc,6.8,-0.06,-0.87%,6.87,6.67,49417,3/16/21
CIB,Bancolombia S.A.,34.12,-0.45,-1.30%,34.86,34.04,166792,3/16/21
CIBR,Nasdaq Cybersecurity ETF FT,42.76,-0.29,-0.67%,43.46,42.4,487990,3/16/21
CIEN,Ciena Corp,57.24,0.87,1.54%,57.57,56.28,1166050,3/16/21
CIG,Comp En DE MN Cemig ADR,2.11,-0.01,-0.47%,2.2,2.09,8337561,3/16/21
CIIC,Ciig Merger Corp Cl A,24.16,-2.42,-9.10%,26.88,23.51,1285446,3/16/21
CIM,Chimera Investment Corp,12.87,-0.01,-0.08%,12.89,12.7,2004858,3/16/21
CINF,Cincinnati Financial,106.41,-2.52,-2.31%,107.25,104.25,684716,3/16/21
CIO,City Office REIT Inc,10.98,-0.32,-2.83%,11.3,10.94,186597,3/16/21
CIR,Circor International,39.82,-2.23,-5.30%,42.28,39.01,160444,3/16/21
CIT,Cit Group Inc,52.32,-0.49,-0.93%,52.64,51.31,891143,3/16/21
CIVB,Civista Bncshrs,22.34,-0.68,-2.95%,23,22,31719,3/16/21
CKH,Seacor Smit Inc,40.31,-0.26,-0.64%,40.87,40.31,72251,3/16/21
CKPT,Checkpoint Therapeutics Inc,3.38,-0.12,-3.43%,3.53,3.29,733530,3/16/21
CL,Colgate-Palmolive Company,75.86,0.18,0.24%,76.39,75.5,4268759,3/16/21
CLAR,Clarus Corp,17.61,-0.22,-1.23%,17.71,17.32,132401,3/16/21
CLB,Core Laboratories N.V.,34.5,-1.4,-3.90%,35.33,34.23,416671,3/16/21
CLBK,Columbia Financial Inc,17.65,-0.08,-0.45%,17.76,17.39,128502,3/16/21
CLBS,Caladrius Bio,2.05,-0.05,-2.38%,2.19,2.01,3545380,3/16/21
CLDR,Cloudera Inc,12.7,-0.35,-2.68%,13.18,12.64,6144774,3/16/21
CLDT,Chatham Lodging Trust REIT,14.22,-0.45,-3.07%,14.69,14.18,329004,3/16/21
CLDX,Celldex Therapeutics,24.07,-0.92,-3.68%,25.28,22.42,452096,3/16/21
CLF,Cleveland-Cliffs Inc,15.92,-1.17,-6.85%,17,15.91,14042970,3/16/21
CLFD,Clearfield Inc,33.46,-0.7,-2.05%,34.8,32.8,152097,3/16/21
CLGX,Corelogic,79.21,-0.12,-0.15%,79.43,79.18,588311,3/16/21
CLH,Clean Harbors,88.59,-0.91,-1.02%,90.02,88.33,173211,3/16/21
CLI,Mack-Cali Realty Corp,16.15,-0.13,-0.80%,16.42,16.02,540819,3/16/21
CLII,Climate Real Impact I Acquisition Corp,13.34,-1.48,-9.99%,14.9,13.31,938793,3/16/21
CLIR,Clearsign Combustion,4.78,-0.08,-1.65%,4.96,4.76,62733,3/16/21
CLLS,Cellectis S.A. ADR,21.96,0.2,0.92%,24.02,21.83,470397,3/16/21
CLMT,Calumet Specialty Pr,5.54,0.15,2.78%,5.78,5.33,405080,3/16/21
CLNC,Colony Northstar Credit Real Estate Inc Class,9.19,-0.3,-3.16%,9.46,9.04,325410,3/16/21
CLNE,Clean Energy Fuels,14.97,-0.42,-2.73%,16,14.82,7300275,3/16/21
CLNY,Colony Capital Inc,6.62,-0.11,-1.63%,6.82,6.56,2665237,3/16/21
CLOU,Global X Cloud Computing ETF,26.68,-0.12,-0.45%,27.15,26.44,1051674,3/16/21
CLOV,Clover Health Investments Corp,8.61,-0.27,-2.99%,9.07,8.41,8362627,3/16/21
CLR,Continental Resources,27.38,-1.91,-6.52%,28.75,27.29,2463682,3/16/21
CLS,Celestica Inc,8.73,-0.04,-0.46%,9,8.72,229779,3/16/21
CLSD,Clearside Biomedi,2.92,-0.21,-6.71%,3.26,2.87,399446,3/16/21
CLSK,Cleanspark Inc,22.68,-6.66,-22.70%,23.36,22,19735928,3/16/21
CLSN,Celsion Corp,2.1,-0.19,-8.30%,2.3,2.06,4746260,3/16/21
CLVR,Clever Leaves Holdings Inc,12.92,-0.55,-4.08%,13.82,12.6,555731,3/16/21
CLVS,Clovis Oncology Inc,5.61,-0.27,-4.59%,5.92,5.54,5172474,3/16/21
CLVT,Clarivate Analytics Plc,25.75,-0.24,-0.92%,26.69,25.75,3137522,3/16/21
CLW,Clearwater Paper Corp,38.94,-1.32,-3.28%,40.19,38.02,143459,3/16/21
CLX,Clorox Company,189.03,0.57,0.30%,190.4,187.55,973038,3/16/21
CM,Canadian Imperial Bank of Commerce,99.91,0.64,0.64%,100.05,98.78,626248,3/16/21
CMA,Comerica Inc,68.45,-1.73,-2.47%,69.35,67.65,1303473,3/16/21
CMC,Commercial Metals Company,28.32,-0.39,-1.36%,29.1,28.1,1200491,3/16/21
CMCM,Cheetah Mobile Inc,2.63,-0.02,-0.75%,2.74,2.55,1070427,3/16/21
CMCO,Columbus Mckinnon,53.63,-0.59,-1.09%,54.54,53.57,84379,3/16/21
CMCSA,Comcast Corp A,58.04,0.51,0.89%,58.58,57.37,15169478,3/16/21
CMD,Cantel Medical,78.3,-0.13,-0.17%,78.93,77.75,598532,3/16/21
CME,CME Group Inc,207.12,-1.97,-0.94%,209.97,205.78,1265971,3/16/21
CMG,Chipotle Mexican Grill,1482.69,-2.92,-0.20%,1511,1473.03,211999,3/16/21
CMI,Cummins Inc,266.92,-9.07,-3.29%,277.09,265.27,1292834,3/16/21
CMLF,Cm Life Sciences Inc Cl A,16.96,-1.03,-5.73%,18.46,16.94,556275,3/16/21
CMO,Capstead Mortgage Corp,6.35,-0.01,-0.16%,6.38,6.26,705427,3/16/21
CMP,Compass Minerals Intl Inc,67.26,-0.81,-1.19%,67.65,66.45,151986,3/16/21
CMPR,Cimpress N.V. Ord,102.9,-2.43,-2.31%,104.33,101.69,54410,3/16/21
CMPS,Compass Pathways Plc ADR,41.68,-0.68,-1.61%,43.5,41,196992,3/16/21
CMRE,Costamare Inc,10.19,-0.24,-2.30%,10.43,10.05,471440,3/16/21
CMRX,Chimerix Inc,10.27,0.07,0.69%,10.38,9.9,418815,3/16/21
CMS,Cms Energy Corp,58.38,-0.12,-0.21%,58.96,58.14,2876352,3/16/21
CMTL,Comtech Telecom Company,26.84,-1.38,-4.89%,28.14,26.69,152619,3/16/21
CNA,Cna Financial Corp,45.84,-0.43,-0.93%,46.01,45.29,132427,3/16/21
CNC,Centene Corp,62.97,0.17,0.27%,63.22,62.06,2343033,3/16/21
CNCE,Concert Pharmaceutic,6.16,-0.08,-1.28%,6.34,5.95,257028,3/16/21
CNDT,Conduent Inc,6.93,-0.12,-1.70%,7.1,6.71,1838763,3/16/21
CNET,Chinanet Online Hld,3.09,-0.59,-16.03%,3.52,2.99,2933765,3/16/21
CNHI,CNH Industrial N.V.,15.18,-0.25,-1.62%,15.32,15.16,2447797,3/16/21
CNI,Canadian National Railway,117.56,0.87,0.75%,118.08,115.91,1242824,3/16/21
CNK,Cinemark Holdings Inc,24.35,-1.47,-5.69%,25.85,24.04,4037017,3/16/21
CNMD,C O N M E D Cp,125.27,-0.94,-0.74%,126.94,123.05,220614,3/16/21
CNNE,Cannae Holdings Inc,41.07,-0.35,-0.84%,42.03,40.73,599294,3/16/21
CNO,Cno Financial Group,25.62,-0.77,-2.92%,26.22,25.58,927171,3/16/21
CNOB,Connectone Bancorp,25.94,-0.63,-2.37%,26.26,25.56,84885,3/16/21
CNP,Centerpoint Energy Inc,22.44,-0.13,-0.58%,22.53,22.13,6174359,3/16/21
CNQ,Canadian Natural Resources,31.1,-1.31,-4.04%,32.22,30.99,2967127,3/16/21
CNR,Cornerstone Building Brands Inc,13.27,-0.51,-3.70%,13.75,13.16,1346065,3/16/21
CNS,Cohn & Steers Inc,67.76,-1.47,-2.12%,69.26,67.66,123108,3/16/21
CNSL,Consolidated Communications Holdings Inc,7,-0.09,-1.20%,7.11,6.74,511939,3/16/21
CNST,Constellation Pharmaceuticals Inc,29.12,-1.53,-4.99%,31.98,28.78,464398,3/16/21
CNTY,Century Casinos IN,11.36,-0.89,-7.27%,13.35,10.94,1020216,3/16/21
CNX,CNX Resources Corp,14.91,0.3,2.05%,15.02,14.24,3151707,3/16/21
CNXC,Concentrix Corporation,142.42,2.18,1.55%,145.62,138.73,253122,3/16/21
CNXN,PC Connection Inc,47.1,-0.64,-1.34%,47.96,45.97,56131,3/16/21
CNXT,Chinaamc Sme-Chn Vaneck ETF,45.23,0.42,0.94%,45.24,44.9,14327,3/16/21
CNYA,China A Ishares MSCI ETF,41.29,0.29,0.71%,41.34,41.14,32005,3/16/21
CO,Global Cord Blood Corp,4.67,0.09,1.97%,4.67,4.54,102394,3/16/21
CODI,Compass Diversified Holdings,23.68,-0.4,-1.66%,24.11,23.49,229052,3/16/21
CODX,Co-Diagnostics Inc,13.46,-0.26,-1.90%,14,13.11,513441,3/16/21
COF,Capital One Financial Corp,128.49,-4.11,-3.10%,131.67,128.12,3221304,3/16/21
COG,Cabot Oil & Gas Corp,18.85,-0.11,-0.58%,19.08,18.62,3127943,3/16/21
COHR,Coherent Inc,248.71,1.33,0.54%,249.85,245.36,275684,3/16/21
COHU,Cohu Inc,46.68,2.98,6.82%,47.19,43.96,1040622,3/16/21
COLB,Columbia Banking Sys,48.29,-0.38,-0.78%,48.58,47.55,226709,3/16/21
COLD,Americold Realty Trust,37.86,0.73,1.97%,38.07,37.07,3439762,3/16/21
COLL,Collegium Pharma,24.69,-0.23,-0.92%,25.22,24.18,297934,3/16/21
COLM,Columbia Sprtswr,103.9,-3.05,-2.85%,106.77,103.69,318047,3/16/21
COMM,Commscope Holding Company,16.78,-0.02,-0.15%,16.92,16.36,4367736,3/16/21
COMS,Comsovereign Holding Corp,3.28,0.07,2.18%,3.42,3.1,1671939,3/16/21
CONE,Cyrusone Inc,67.09,-0.42,-0.62%,68.1,66.76,410234,3/16/21
CONN,Conn's Inc,15.99,-0.84,-4.99%,16.67,15.7,223459,3/16/21
COO,Cooper Companies,382.19,-4.84,-1.25%,393.33,380.89,244469,3/16/21
COOP,Mr.Cooper Group Inc,35.66,-1.27,-3.44%,37.85,35.51,827696,3/16/21
COP,Conocophillips,56.58,-1.58,-2.72%,57.4,55.97,9398881,3/16/21
COR,Coresite Realty Corp,119,1.26,1.07%,119.64,117.5,236151,3/16/21
CORE,Core Mark Holding,39.41,-0.43,-1.08%,40.23,38.89,169400,3/16/21
CORN,Teucrium Corn,17.19,0.02,0.12%,17.23,17.02,147372,3/16/21
CORR,Corenergy Infrastructure Trust Inc,8.39,-0.15,-1.76%,8.67,8.25,298570,3/16/21
CORT,Corcept Therapeutics,25.5,-0.29,-1.12%,26.33,25.03,391456,3/16/21
COST,Costco Wholesale,327.25,-3.26,-0.99%,330.03,326.64,3065670,3/16/21
COTY,Coty Inc,9.02,-0.35,-3.74%,9.34,8.88,7590595,3/16/21
COUP,Coupa Software Inc,271.94,-9.82,-3.49%,286.22,268.96,1975495,3/16/21
COW,Ipatha.B Livestock Subindex TR ETN,37.61,0.2,0.53%,37.64,37.4,9533,3/16/21
COWN,Cowen Group Inc,37.18,-1.59,-4.10%,38.85,35.54,924030,3/16/21
COWZ,Pacer US Cash Cows 100 ETF,40.16,-0.12,-0.30%,40.34,40.08,24487,3/16/21
CP,Canadian Pacific Railway,374.76,2.36,0.63%,377.04,370.6,521956,3/16/21
CPA,Copa Holdings S.A.,90.51,-0.11,-0.12%,91.09,88.34,322914,3/16/21
CPB,Campbell Soup Company,48.9,1.3,2.73%,49.06,47.64,2174855,3/16/21
CPE,Callon Petroleum Company,40.48,-1.48,-3.53%,42.31,39.38,1771050,3/16/21
CPER,US Copper,25.01,-0.55,-2.15%,25.17,24.86,212000,3/16/21
CPF,Central Pacific Financial Company,26.2,-0.15,-0.57%,26.26,25.65,155789,3/16/21
CPG,Crescent Pt Energy,4.32,-0.21,-4.64%,4.47,4.3,7241926,3/16/21
CPK,Chesapeake Utilities Corp,120.38,0.29,0.24%,120.75,118.4,38689,3/16/21
CPLG,Corepoint Lodging Inc,9.4,-0.4,-4.08%,9.67,9.35,135361,3/16/21
CPLP,Capital Product Part,10.23,-0.42,-3.94%,10.67,10.23,85643,3/16/21
CPRI,Capri Holdings Ltd,55.65,-0.99,-1.75%,56.12,54.01,1958633,3/16/21
CPRT,Copart Inc,109.03,-1.81,-1.63%,112.32,108.65,730377,3/16/21
CPRX,Catalyst Pharm Inc,4.15,0.21,5.33%,4.29,3.94,2352712,3/16/21
CPS,Cooper Std Hld Inc,43.3,-2.5,-5.46%,45.01,42.7,89769,3/16/21
CPSH,Cps Technologies,14.81,-0.92,-5.85%,16,14.33,484735,3/16/21
CPSI,Computer Programs,32.68,-0.3,-0.91%,33.24,32.38,53416,3/16/21
CPSS,Consumer Portfol,4.15,-0.07,-1.66%,4.21,4.09,23177,3/16/21
CPST,Capstone Turbine Cp,9.01,-0.52,-5.46%,9.53,8.85,218832,3/16/21
CPT,Camden Property Trust,109.7,-0.59,-0.53%,110.86,108.64,727878,3/16/21
CPTA,Capitala Finance Crp,15.51,-0.25,-1.59%,15.75,15.27,12538,3/16/21
CQP,Cheniere Energy Partners LP,44.13,0.26,0.59%,44.62,43.62,177121,3/16/21
CQQQ,China Technology Invesco ETF,87.84,0.64,0.73%,88.32,87.21,263387,3/16/21
CR,Crane Company,92.87,-2.2,-2.31%,94.81,92.71,264455,3/16/21
CRAI,Cra International,71,-1.62,-2.23%,71.79,70.63,16618,3/16/21
CRBP,Corbus Pharma,2.18,-0.09,-3.96%,2.37,2.12,6962424,3/16/21
CRC,California Resources Corp,24.05,-0.43,-1.76%,24.63,24,305169,3/16/21
CRDF,Cardiff Oncology Inc,10.04,-0.93,-8.48%,11.05,9.88,734105,3/16/21
CREE,Cree Inc,114.03,1.86,1.66%,118.32,112.8,1643722,3/16/21
CRESY,Cresud Sacif ADR,5.01,-0.1,-1.96%,5.33,4.93,230527,3/16/21
CRH,CRH Plc,47.2,-1.11,-2.30%,47.67,46.82,387683,3/16/21
CRI,Carter's Inc,90.07,-1.05,-1.15%,91.1,87.84,769445,3/16/21
CRIS,Curis Inc,10.55,-0.47,-4.26%,11.24,10.32,1233822,3/16/21
CRK,Comstock Resources,5.61,-0.11,-1.92%,5.74,5.53,2157643,3/16/21
CRL,Charles River Laboratories Intl,288.53,-3.56,-1.22%,294.69,285.3,236080,3/16/21
CRM,Salesforce.com Inc,214.48,1.68,0.79%,216.69,213.48,5306146,3/16/21
CRMD,Cormedix Inc,9.27,0,0.00%,9.62,9,488292,3/16/21
CRMT,America's Car-Mart,161.36,-3.63,-2.20%,163.99,158.52,37320,3/16/21
CRNC,Cerence Inc,109.35,-2.9,-2.58%,113.81,106,414251,3/16/21
CRNT,Ceragon Networks Ltd,4.34,-0.07,-1.59%,4.49,4.29,1179546,3/16/21
CROC,Ultrashort Australian Proshares,43.24,0.07,0.17%,43.28,43.1,691,3/16/21
CRON,Cronos Group Inc,10.19,-0.48,-4.50%,10.94,10.04,3665244,3/16/21
CROX,Crocs Inc,81.6,-3.2,-3.77%,84.79,81.33,780769,3/16/21
CRS,Carpenter Technology Corp,44.16,-0.99,-2.19%,45.7,43.88,308496,3/16/21
CRSA,Crescent Acquisition Corp Cl A,10.05,0,0.00%,10.09,10.05,99690,3/16/21
CRSP,Crispr Therapeutics Ag,130.57,-3.03,-2.27%,137,126.18,1482620,3/16/21
CRSR,Corsair Gaming Inc,34.18,-0.27,-0.78%,35.56,33.36,1620834,3/16/21
CRTO,Criteo S.A. Ads,33.45,0.48,1.46%,34.19,32.35,808550,3/16/21
CRTX,Cortexyme Inc,39,-0.26,-0.66%,40.45,38.4,261274,3/16/21
CRUS,Cirrus Logic Inc,79.93,2.39,3.08%,80.33,77.84,618895,3/16/21
CRVL,Corvel Cp,110.21,-0.25,-0.23%,111.42,108.07,39860,3/16/21
CRVS,Corvus Pharma Com,3.21,-0.07,-2.13%,3.48,3.2,1250068,3/16/21
CRWD,Crowdstrike Holdings Inc,196.31,-4.24,-2.11%,209.1,193.5,6741670,3/16/21
CRWS,Crown Crafts Inc,7.75,-0.12,-1.52%,7.79,7.72,50998,3/16/21
CRY,Cryolife,23.5,-0.94,-3.85%,24.22,23.18,166499,3/16/21
CS,Credit Suisse Group,12.9,-0.1,-0.77%,13.13,12.86,2163124,3/16/21
CSAN,Cosan Sa Spon Ads WI [Csan/I],15.83,-0.34,-2.10%,16.43,15.64,667446,3/16/21
CSCO,Cisco Systems Inc,49.67,0.26,0.53%,49.74,49.19,17282402,3/16/21
CSD,S&P Spin-Off Invesco ETF,64.45,-1.19,-1.81%,65.01,64.45,1333,3/16/21
CSGP,Costar Group Inc,838.68,0.82,0.10%,848.4,834.2,222345,3/16/21
CSGS,C S G Sys Intl,48.37,0.35,0.73%,48.52,47.46,163038,3/16/21
CSII,Cardiovascular Syst,40.97,-0.49,-1.18%,41.54,39.72,136231,3/16/21
CSIQ,Canadian Solar Inc,42.52,-2.32,-5.17%,45.45,41.77,2579706,3/16/21
CSL,Carlisle Companies Inc,156.84,-2.68,-1.68%,159.82,156.8,266882,3/16/21
CSLT,Castlight Health Inc,1.78,-0.1,-5.32%,1.88,1.74,593080,3/16/21
CSOD,Cornerstone Ondemand,47.14,-1.59,-3.26%,48.85,47.07,530740,3/16/21
CSPR,Casper Sleep Inc,8.1,-0.37,-4.37%,8.47,7.89,437521,3/16/21
CSR,Centerspace,72.6,-0.79,-1.08%,73.45,71.3,32542,3/16/21
CSTE,Caesarstone Sdot-Yam,13.54,0.04,0.30%,13.76,13.3,163612,3/16/21
CSTL,Castle Biosciences Inc,62.57,-3.2,-4.87%,66.35,60.35,732304,3/16/21
CSTM,Constellium N.V.,16.54,-0.22,-1.31%,16.81,16.17,1288565,3/16/21
CSU,Capital Senior Living Corp,45.18,8.98,24.81%,47.79,35.9,140530,3/16/21
CSV,Carriage Services,36.05,-0.43,-1.18%,36.5,35.55,72223,3/16/21
CSWC,Capital Southwest,21.85,-0.15,-0.68%,21.99,21.64,113559,3/16/21
CSX,CSX Corp,91.94,-1.54,-1.65%,93.87,91.44,3024382,3/16/21
CTAS,Cintas Corp,347.95,-3.65,-1.04%,351.27,344.07,426502,3/16/21
CTB,Cooper Tire & Rubber Company,56.97,-0.63,-1.09%,57.39,56.83,347088,3/16/21
CTBI,Community TR Bancp,45.47,-0.69,-1.49%,45.95,44.72,35036,3/16/21
CTG,Computer Task Gp Inc,9.19,-0.17,-1.82%,9.51,8.86,41713,3/16/21
CTIC,Cti Biopharm Corp,3.28,-0.02,-0.61%,3.33,3.22,285813,3/16/21
CTLT,Catalent Inc,103.52,-3.15,-2.95%,107.42,102.61,978186,3/16/21
CTMX,Cytomx Thera,8.49,-0.27,-3.08%,8.86,8.38,512625,3/16/21
CTRE,Caretrust REIT Inc,24.03,-0.77,-3.10%,24.89,23.78,688700,3/16/21
CTRN,Citi Trends Inc,90.73,0.29,0.32%,92.33,85.41,401250,3/16/21
CTS,Cts Corp,33.25,0.25,0.76%,34,33,274898,3/16/21
CTSH,Cognizant Tech Sol,78.06,-1.21,-1.53%,79.1,77.84,2497467,3/16/21
CTSO,Cytosorbents Cor,9.39,0.07,0.70%,9.7,9.15,621111,3/16/21
CTT,Catchmark Timber Trust Inc,10.81,-0.17,-1.55%,11.02,10.74,171224,3/16/21
CTVA,Corteva Inc,46.17,-0.66,-1.41%,46.88,45.86,2300451,3/16/21
