Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ADPT,Adaptive Biotechnologies Corp,44.26,1.39,3.24%,47.11,43.08,2124664,3/16/21
ADS,Alliance Data Systems Corp,112.67,-2.91,-2.52%,117.01,110.9,1141138,3/16/21
ADSK,Autodesk Inc,275.01,1.99,0.73%,277.7,272.01,1041293,3/16/21
ADT,ADT Inc,8.33,0.08,0.97%,8.41,8.15,2573398,3/16/21
ADTN,Adtran Inc,19.23,0.29,1.53%,19.41,18.72,434901,3/16/21
ADTX,Aditx Therapeutics Inc,3.39,-0.35,-9.36%,3.65,3.28,692780,3/16/21
ADUS,Addus Homecare Corp,104.8,-3.02,-2.80%,108.24,103.27,69476,3/16/21
ADV,Advantage Solutions Inc,9.95,-0.12,-1.19%,10.24,9.65,350445,3/16/21
ADVM,Adverum Biotechnlgs,10.56,-0.09,-0.85%,10.89,10.36,488698,3/16/21
AEE,Ameren Corp,78.49,-0.33,-0.42%,79.18,78.27,1439493,3/16/21
AEG,Aegon N.V.,4.86,-0.07,-1.42%,4.92,4.81,1973179,3/16/21
AEGN,Aegion Corp,28.29,-0.23,-0.81%,28.4,28,289429,3/16/21
AEIS,Advanced Energy,107.47,-0.53,-0.49%,110.68,106.68,281893,3/16/21
AEL,American Equity Investment Life,31.47,-0.24,-0.76%,31.75,30.86,667070,3/16/21
AEM,Agnico-Eagle Mines Ltd,59.21,-0.45,-0.75%,60.23,58.88,959541,3/16/21
AEO,American Eagle Outfitters,30.33,-0.29,-0.95%,30.57,29.92,2441723,3/16/21
AEP,American Electric Power Company,83.5,1.22,1.48%,83.55,81.8,5103998,3/16/21
AER,Aercap Holdings N.V.,59.77,-1.64,-2.67%,61.49,59.03,1910773,3/16/21
AERI,Aerie Pharmaceuticals,20.57,-0.27,-1.30%,20.9,20.01,471887,3/16/21
AES,The Aes Corp,27.89,-0.61,-2.14%,28.45,27.87,4547322,3/16/21
AEZS,Aeterna Zentaris,1.38,-0.13,-8.61%,1.58,1.31,23586543,3/16/21
AFG,American Financial Group,116.71,-1.02,-0.87%,118.17,116.1,644002,3/16/21
AFI,Armstrong Flooring Inc,5.7,-0.6,-9.52%,6.22,5.69,237043,3/16/21
AFL,Aflac Inc,51.1,-1.04,-1.99%,51.82,50.72,3026036,3/16/21
AFMD,Affimed N.V.,8.34,1,13.62%,8.58,7.34,4679894,3/16/21
AFRM,Affirm Holdings Inc Cl A,80.8,-0.55,-0.68%,84.2,79.5,1606902,3/16/21
AFTY,CSOP FTSE China A50 ETF,23.1,0.32,1.42%,23.1,22.97,3100,3/16/21
AFYA,Afya Ltd Cl A,21.72,0.15,0.70%,21.94,21.6,145261,3/16/21
AG,First Majestic Silver,16.91,-0.38,-2.20%,17.34,16.8,3910673,3/16/21
AGC,Altimeter Growth Corp Cl A,12.85,-0.88,-6.41%,13.93,12.51,1043408,3/16/21
AGCB,Altimeter Growth Corp 2 Cl A,11.11,-0.42,-3.64%,11.85,10.89,161580,3/16/21
AGCO,Agco Corp,142.11,-0.71,-0.50%,144.55,141.57,693143,3/16/21
AGEN,Agenus Inc,3.21,-0.19,-5.59%,3.52,3.15,5466538,3/16/21
AGFS,Agrofresh Solutions,2.31,-0.02,-0.86%,2.38,2.3,104220,3/16/21
AGG,US Aggregate Bond Ishares Core ETF,113.87,-0.04,-0.04%,114.03,113.78,3990958,3/16/21
AGI,Alamos Gold Inc,7.92,-0.11,-1.37%,8.02,7.86,1967846,3/16/21
AGIO,Agios Pharmaceuticals,50.75,-1.54,-2.95%,52.71,49.58,1000763,3/16/21
AGLE,Aeglea Biothera,7.66,-0.19,-2.42%,7.81,7.37,800921,3/16/21
