Date,D1,DR1,C1,S1,P1,D2,DR2,C2,S2,P2,D3,DR3,C3,S3,P3,D4,DR4,C4,S4,P4,D5,DR5,C5,S5,P5,D6,DR6,C6,S6,P6,D7,DR7,C7,S7,P7,D8,DR8,C8,S8,P8,D9,DR9,C9,S9,P9,D10,DR10,C10,S10,P10,D11,DR11,C11,S11,P11,D12,DR12,C12,S12,P12,D13,DR13,C13,S13,P13,D14,DR14,C14,S14,P14,D15,DR15,C15,S15,P15,D16,DR16,C16,S16,P16,D17,DR17,C17,S17,P17
03-30-21,10,0.35,24,76,0.316,15,0.38,15,76,0.197,20,0.4,9,76,0.118,5,0.51,37,76,0.487,25,0.56,4,76,0.053,30,0.75,1,76,0.013,35,1.0,0,76,0.0
04-02-21,5,0.5,1,2,0.5,15,1.0,0,2,0.0
04-04-21,35,0.25,3,127,0.024,25,0.31,11,127,0.087,40,0.33,2,127,0.016,10,0.35,48,127,0.378,5,0.42,74,127,0.583,15,0.42,28,127,0.22,20,0.43,16,127,0.126,60,0.5,1,127,0.008,30,0.64,4,127,0.031,80,1.0,0,127,0.0
04-06-21,35,0.2,4,141,0.028,15,0.23,37,141,0.262,40,0.25,3,141,0.021,5,0.26,104,141,0.738,25,0.4,12,141,0.085,20,0.46,20,141,0.142,10,0.54,48,141,0.34,30,0.58,5,141,0.035,45,0.67,1,141,0.007,60,1.0,0,141,0.0
04-08-21,5,0.17,119,144,0.826,40,0.25,3,144,0.021,15,0.3,42,144,0.292,50,0.33,2,144,0.014,25,0.36,14,144,0.097,30,0.36,9,144,0.062,20,0.48,22,144,0.153,10,0.5,60,144,0.417,65,0.5,1,144,0.007,35,0.56,4,144,0.028
