,c,h,l,o,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,179.35,179.52,176.32,177.13,52714,,,,,,,3.200000000000017
1,176.59,179.43,176.48,179.13,50815,,,,,,,3.1821428571428743
2,175.31,177.09,174.36,176.55,96276,,,,,174.53949163493013,180.0577155003846,3.1498469387755255
3,175.89,176.27,174.92,174.92,75801,,,,,174.15472815706056,179.23646340203766,3.021286443148704
4,175.62,177.12,175.37,176.1,75088,,,,,174.37733596838632,177.3089874451257,2.930480268638082
5,175.67,177.06,174.92,175.23,69538,,,,,174.81019237886463,177.2910434508091,2.8740173923067918
6,176.24,178.42,176.1,176.43,79206,,,,,174.8678223482681,178.30179500012827,2.865159007142021
7,175.11,176.31,175.11,176.0,86402,,,,,174.7430789984365,178.3329282722393,2.7462190780604474
8,173.45,174.58,169.31,172.58,121371,175.91,,,,169.83869265730766,178.35979779410783,2.9643462867704162
9,170.42,173.7,170.16,173.46,78459,174.92,,,,168.3944416853901,176.19120129865718,3.0054644091439573
10,166.7,169.785,166.4,169.25,103983,173.82,,,,166.6515236738244,175.2409023007333,3.077931237062245
11,166.56,166.89,164.27,166.51,86600,172.85,,,,163.96097967668354,173.5427075650207,3.0452218629863688
12,166.14,167.11,165.395,166.95,125730,171.77,,,,164.28943676865276,169.54001206476005,2.9502060156302
13,163.3,165.6,163.18,163.64,134660,170.4,,,,163.17412058034228,167.34907430529276,2.950905585942327
14,162.66,164.37,162.05,163.22,136441,168.95,,,,161.84009141610252,167.06571569016157,2.9058409012321604
15,163.57,164.51,162.72,162.88,96884,167.55,,,,162.08175709419382,165.50004125286176,2.8304236940012912
16,164.55,165.69,163.855,164.05,362569,166.37,,,,161.96257192064303,165.58174137546112,2.7796791444297706
17,163.12,165.27,162.65,165.27,69969,165.22,,,,162.39859405679792,165.75477479512955,2.768273491256216
18,163.69,164.43,162.76,163.55,31615,164.48,,,,162.42210639502144,165.77156059729387,2.689825384737916
19,163.7,164.66,163.27,164.04,24613,164.14,169.88,,,162.56252623949698,165.2207557512258,2.5969807143994927
