Date,D1,DR1,C1,S1,P1,D2,DR2,C2,S2,P2,D3,DR3,C3,S3,P3,D4,DR4,C4,S4,P4,D5,DR5,C5,S5,P5,D6,DR6,C6,S6,P6,D7,DR7,C7,S7,P7,D8,DR8,C8,S8,P8,D9,DR9,C9,S9,P9,D10,DR10,C10,S10,P10,D11,DR11,C11,S11,P11,D12,DR12,C12,S12,P12,D13,DR13,C13,S13,P13,D14,DR14,C14,S14,P14,D15,DR15,C15,S15,P15,D16,DR16,C16,S16,P16,D17,DR17,C17,S17,P17
03-30-21,5,0.12,312,353,0.884,55,0.12,15,353,0.042,70,0.12,7,353,0.02,10,0.16,261,353,0.739,25,0.18,113,353,0.32,30,0.19,91,353,0.258,50,0.19,17,353,0.048,20,0.2,138,353,0.391,45,0.22,21,353,0.059,80,0.25,3,353,0.008,15,0.34,173,353,0.49,75,0.43,4,353,0.011,35,0.45,50,353,0.142,40,0.46,27,353,0.076,60,0.47,8,353,0.023
04-02-21,5,0.18,9,11,0.818,10,0.33,6,11,0.545,35,0.5,1,11,0.091,15,0.67,2,11,0.182,40,1.0,0,11,0.0
04-04-21,10,0.16,184,267,0.689,5,0.18,218,267,0.816,25,0.2,66,267,0.247,35,0.24,37,267,0.139,55,0.25,3,267,0.011,30,0.26,49,267,0.184,15,0.33,124,267,0.464,20,0.33,83,267,0.311,45,0.5,4,267,0.015,60,0.67,1,267,0.004,40,0.78,8,267,0.03,80,1.0,0,267,0.0
04-06-21,35,0.17,43,321,0.134,10,0.2,188,321,0.586,60,0.2,4,321,0.012,25,0.23,71,321,0.221,15,0.25,141,321,0.439,65,0.25,3,321,0.009,5,0.27,234,321,0.729,30,0.27,52,321,0.162,50,0.29,5,321,0.016,80,0.33,2,321,0.006,20,0.35,92,321,0.287,45,0.53,7,321,0.022,40,0.65,15,321,0.047
04-08-21,15,0.16,156,378,0.413,30,0.22,52,378,0.138,10,0.24,186,378,0.492,35,0.25,39,378,0.103,25,0.32,67,378,0.177,55,0.33,2,378,0.005,5,0.35,245,378,0.648,20,0.37,98,378,0.259,40,0.38,24,378,0.063,50,0.5,3,378,0.008,60,0.5,1,378,0.003,45,0.75,6,378,0.016
04-09-21,15,0.16,156,377,0.414,30,0.22,52,377,0.138,10,0.24,186,377,0.493,35,0.25,39,377,0.103,25,0.32,67,377,0.178,55,0.33,2,377,0.005,5,0.35,245,377,0.65,20,0.37,98,377,0.26,40,0.38,24,377,0.064,50,0.5,3,377,0.008,60,0.5,1,377,0.003,45,0.75,6,377,0.016
