Date,D1,DR1,C1,S1,P1,D2,DR2,C2,S2,P2,D3,DR3,C3,S3,P3,D4,DR4,C4,S4,P4,D5,DR5,C5,S5,P5,D6,DR6,C6,S6,P6,D7,DR7,C7,S7,P7,D8,DR8,C8,S8,P8,D9,DR9,C9,S9,P9,D10,DR10,C10,S10,P10,D11,DR11,C11,S11,P11,D12,DR12,C12,S12,P12,D13,DR13,C13,S13,P13,D14,DR14,C14,S14,P14,D15,DR15,C15,S15,P15,D16,DR16,C16,S16,P16,D17,DR17,C17,S17,P17
03-30-21,10,0.28,31,83,0.373,35,0.33,2,83,0.024,25,0.4,6,83,0.072,15,0.42,18,83,0.217,20,0.44,10,83,0.12,5,0.48,43,83,0.518,30,0.5,3,83,0.036,45,1.0,0,83,0.0
04-02-21,15,0.5,1,6,0.167,5,0.67,2,6,0.333,25,1.0,0,6,0.0
04-04-21,15,0.31,36,147,0.245,35,0.33,2,147,0.014,25,0.35,11,147,0.075,5,0.37,93,147,0.633,10,0.44,52,147,0.354,20,0.53,17,147,0.116,30,0.73,3,147,0.02,45,1.0,0,147,0.0
04-06-21,15,0.21,38,155,0.245,5,0.25,117,155,0.755,40,0.25,3,155,0.019,45,0.33,2,155,0.013,30,0.38,8,155,0.052,25,0.41,13,155,0.084,20,0.42,22,155,0.142,35,0.5,4,155,0.026,10,0.59,48,155,0.31,50,1.0,0,155,0.0
04-08-21,5,0.2,126,158,0.797,20,0.24,28,158,0.177,40,0.33,2,158,0.013,15,0.36,37,158,0.234,30,0.38,8,158,0.051,10,0.54,58,158,0.367,25,0.54,13,158,0.082,35,0.62,3,158,0.019,50,1.0,0,158,0.0
04-09-21,5,0.21,125,159,0.786,20,0.28,28,159,0.176,40,0.33,2,159,0.013,15,0.35,39,159,0.245,30,0.43,8,159,0.05,25,0.5,14,159,0.088,10,0.52,60,159,0.377,35,0.62,3,159,0.019,50,1.0,0,159,0.0
04-14-21,5,0.17,60,72,0.833,20,0.19,13,72,0.181,30,0.29,5,72,0.069,10,0.3,42,72,0.583,25,0.46,7,72,0.097,40,0.5,1,72,0.014,35,0.6,2,72,0.028,15,0.62,16,72,0.222,50,1.0,0,72,0.0
