Symbol,Name,Last,Industry,20D Avg Vol,Market Cap
CYBR,Cyberark Soft Ord,132.32,Security,491257,5256298000
CYGIY,Cyberagent Inc ADR,34.05,Internet - Services,206,8642516000
CZR,Caesars Entertainment Inc,87.53,Leisure & Recreation Services,5492292,17266162000
D,Dominion Resources,75.78,Utility - Electric Power,4764837,59746860000
DADA,Dada Nexus Limited ADR,25.71,Technology Services,1762599,6431201000
DAL,Delta Air Lines Inc,47.66,Transportation - Airline,14061982,29105884000
DANOY,Danone ADR,13.96,Food - Misc & Diversified,941504,47273672000
DAR,Darling International Inc,73.94,Food - Misc & Diversified,1869248,11315334000
DASH,Doordash Inc Cl A,134.01,Internet - Services,4390179,40353376000
DASTY,Dassault Systeme A,216.39,Computer - Software,16788,55210704000
DAVA,Endava Plc,85.11,IT Services,134098,4432331000
DB,Deutsche Bank Ag,12.35,Banks - Foreign,4432680,25627948000
DBOEY,Deutsche Boerse Ag,16.58,Securities Exchanges,106103,30400000000
DBSDY,Dbs Group Holdings Ltd,86.2,Banks - Foreign,74724,53566364000
DBX,Dropbox Inc,26.59,Internet - Services,10121098,11006590000
DCI,Donaldson Company,58.96,Pollution Controls,474022,7249608000
DCP,Dcp Midstream LP,22.45,Oil - Production & Pipeline,1276770,4438068000
DCT,Duck Creek Technologies Inc,43.5,Internet - Software,1099262,5706980000
DD,Du Pont De.Nemours Inc,78.47,Chemical - Diversified,4298901,40987380000
DDAIF,Daimler Ag,86.67,Auto - Foreign,27747,89916704000
DDOG,Datadog Inc Cl A,80.29,Internet - Software,4325752,24905540000
DE,Deere & Company,372.29,Machinery - Farm,1997654,1.13E+11
DECK,Deckers Outdoor Corp,333.84,Shoes and Related Apparel,302412,8781434000
DEI,Douglas Emmett,32.98,REIT - Equity Trust Other,1707837,5616603000
DELL,Dell Technologies Inc,88.99,IT Services,2758563,64745576000
DEN,Denbury Inc,45.42,Oil - US Exploration & Product,1217563,21986252000
DEO,Diageo Plc,165.71,Beverages - Alcohol,399074,96372728000
DFIHY,Dairy Farm International Holdings Ltd,21.7,Food - Dairy Products,4340,5893233000
DFS,Discover Financial Services,96.96,Finance - Consumer Loans,2712378,28468640000
DG,Dollar General Corp,203.08,Retail - Discount,3603477,47154152000
DGX,Quest Diagnostics Inc,129.24,Medical - Outpatient & Hm Care,1245478,16934104000
DHI,D.R. Horton,89.85,Building - Residential & Comm,3330918,30390938000
DHR,Danaher Corp,226.27,Conglomerates - Div Operations,2873583,1.56E+11
DIFTY,Daito Trust Construc,29.38,Real Estate Operations,16075,7528711000
DIS,Walt Disney Company,185.92,Media Conglomerates,13158395,3.35E+11
DISCA,Discovery Comm A,41.9,Broadcast - Radio & TV,16557855,30185468000
DISCB,Discovery Comm B,51.68,Broadcast - Radio & TV,3184,31920378000
DISCK,Discovery Comm Inc,35.96,Broadcast - Radio & TV,12741017,26579198000
DISH,Dish Network Corp,36.12,Cable TV,4105525,18689558000
DKILY,Daikin Inds Ltd ADR,20.11,Electronics Products - Misc,81477,56934120000
DKNG,Draftkings Inc,63.6,Gaming,20708025,26499082000
DKS,Dick's Sporting Goods Inc,78.17,Retail - Misc & Diversified,1985392,6619573000
DLAKY,Deutsche Lufthansa S,13.0472,Transportation - Airline,42545,6252386000
