Symbol,Name,Market Cap,Volume,Options
DOG,Dow 30 Short Proshares,263017000,88984,Yes
DXD,Ultrashort Dow 30 Proshares,113464500,169666,Yes
FAZ,Financial Bear 3X Direxion,141054800,31054,Yes
GOVT,US Treasury Bond Ishares ETF,14245512000,323605,Yes
AAL,American Airlines Gp,15652872000,1091485,Yes
HIBS,S&P 500 High Beta Bear 3X Direxion,19789600,142700,Yes
IEF,7-10 Year Treas Bond Ishares ETF,13907390400,435873,Yes
MYY,Midcap 400 Short Proshares,16302400,32,Yes
MZZ,Ultrashort Midcap400 Proshares,2187000,400,Yes
