Date,D1,DR1,C1,S1,P1,D2,DR2,C2,S2,P2,D3,DR3,C3,S3,P3,D4,DR4,C4,S4,P4,D5,DR5,C5,S5,P5,D6,DR6,C6,S6,P6,D7,DR7,C7,S7,P7,D8,DR8,C8,S8,P8,D9,DR9,C9,S9,P9,D10,DR10,C10,S10,P10,D11,DR11,C11,S11,P11,D12,DR12,C12,S12,P12,D13,DR13,C13,S13,P13,D14,DR14,C14,S14,P14,D15,DR15,C15,S15,P15,D16,DR16,C16,S16,P16,D17,DR17,C17,S17,P17
03-30-21,10,0.24,22,59,0.373,15,0.27,16,59,0.271,25,0.38,5,59,0.085,20,0.5,8,59,0.136,5,0.51,29,59,0.492,30,0.8,1,59,0.017,45,1.0,0,59,0.0
04-02-21,5,0.25,6,8,0.75,20,0.25,3,8,0.375,10,0.33,4,8,0.5,25,0.67,1,8,0.125,30,1.0,0,8,0.0
04-04-21,15,0.17,20,63,0.317,5,0.38,39,63,0.619,10,0.38,24,63,0.381,20,0.4,12,63,0.19,25,0.42,7,63,0.111,40,0.5,1,63,0.016,30,0.71,2,63,0.032,55,1.0,0,63,0.0
04-06-21,15,0.22,21,74,0.284,5,0.28,53,74,0.716,20,0.29,15,74,0.203,25,0.33,10,74,0.135,10,0.49,27,74,0.365,45,0.5,1,74,0.014,30,0.8,2,74,0.027,55,1.0,0,74,0.0
04-08-21,20,0.15,17,75,0.227,5,0.24,57,75,0.76,30,0.3,7,75,0.093,15,0.33,20,75,0.267,25,0.41,10,75,0.133,10,0.47,30,75,0.4,45,0.5,1,75,0.013,35,0.71,2,75,0.027,60,1.0,0,75,0.0
